ID,Amount,Title,Type,Category,Date,Time
1,190.0,Chicken Biryani,expense,food,2025-05-22,20:53:05.346319
2,8000.0,Data Science Bootcamp,expense,education,2025-05-23,15:03:15.849354
3,3800.0,Computer Vision bootcamp,expense,education,2025-05-23,15:06:00.664339
4,40.0,Variety Rice,expense,food,2025-05-23,15:07:18.149332
6,25.0,Sanitizer,expense,medical,2025-05-23,15:08:26.193797
7,350.0,Ikigi Book,expense,education,2025-05-23,15:21:22.961972
8,350,Mobile Recharge,expense,bills,2025-05-23,15:26:36.891342
